mscn_sol,GSFC
region_name,Greenland (h < 2000m)
region_tag,101
region_area,1486021.81
mascon_ids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Solution,GSFC Global Mascons v02.2
Citation,Luthcke, S.B., T.J. Sabaka, B.D. Loomis, et al., 2013, Antarctica, Greenland and Gulf of Alaska land ice evolution from an iterated GRACE global mascon solution, J. Glac. 59(216), 613-631, doi:10.3189/2013JoG12J147.
Data Portal,http://ccar.colorado.edu/grace/

year,cmwe
2003.015,109.684
2003.14,97.73
2003.203,114.057
2003.286,116.807
2003.347,121.25
2003.537,107.472
2003.622,95.124
2003.705,90.884
2003.789,91.733
2003.873,91.372
2003.956,96.671
2004.015,91.23
2004.127,97.414
2004.205,95.263
2004.288,102.479
2004.372,107.882
2004.455,95.329
2004.538,91.473
2004.623,82.268
2004.706,80.44
2004.79,74.105
2004.873,83.742
2004.956,81.591
2005.041,85.036
2005.122,88.544
2005.203,92.238
2005.286,91.413
2005.37,95.168
2005.453,87.049
2005.537,79.157
2005.622,61.691
2005.705,56.98
2005.789,63.998
2005.873,55.931
2005.955,66.493
2006.041,64.799
2006.122,69.719
2006.203,72.844
2006.286,69.568
2006.37,75.966
2006.453,70.052
2006.537,63.852
2006.622,55.071
2006.707,51.933
2006.789,47.015
2006.873,50.559
2006.956,49.676
2007.041,52.337
2007.121,56.142
2007.203,56.617
2007.286,59.156
2007.37,64.813
2007.453,59.638
2007.537,48.004
2007.622,30.821
2007.704,29.13
2007.795,31.878
2007.873,28.161
2007.956,32.535
2008.041,36.035
2008.123,38.05
2008.205,41.95
2008.288,42.51
2008.372,41.173
2008.455,41.566
2008.538,26.75
2008.623,9.328
2008.706,6.863
2008.79,10.325
2008.873,10.152
2008.955,18.33
2009.041,18.579
2009.122,21.405
2009.203,18.269
2009.286,17.709
2009.37,22.019
2009.453,27.422
2009.536,18.084
2009.622,-1.212
2009.705,-7.444
2009.789,2.656
2009.873,-1.033
2009.956,8.117
2010.041,0.603
2010.122,10.334
2010.203,12.089
2010.286,6.691
2010.37,16.033
2010.453,8.033
2010.537,-12.62
2010.622,-23.92
2010.705,-34.881
2010.789,-27.462
2010.873,-27.751
2010.951,-23.328
2011.133,-27.478
2011.203,-20.082
2011.286,-27.682
2011.37,-22.16
2011.544,-37.332
2011.622,-47.328
2011.705,-56.661
2011.789,-59.111
2011.83,-62.157
2011.995,-56.48
2012.041,-55.087
2012.123,-54.2
2012.205,-48.005
2012.255,-47.223
2012.454,-38.891
2012.538,-68.828
2012.623,-90.038
2012.699,-93.925
2012.881,-84.534
2012.956,-82.817
2013.041,-88.537
2013.119,-73.754
2013.3,-76.249
2013.37,-74.89
2013.453,-77.758
2013.536,-82.398
2013.79,-91.686
2013.873,-94.769
2013.956,-83.441
2014.021,-93.199
2014.205,-72.363
2014.286,-79.776
2014.37,-75.333
2014.445,-75.544
2014.623,-112.378
2014.705,-119.894
2014.789,-115.881
2014.873,-110.39
2015.058,-107.257
2015.122,-115.171
2015.204,-93.163
2015.286,-98.921
2015.314,-98.519
2015.537,-104.54
2015.622,-124.253
2015.701,-125.714
2015.977,-122.827
2016.041,-115.519
2016.119,-116.207
2016.202,-120.52
